experiment_id,name,session_id,storage_directory,experiment_container_id,depth,area,workflow_state,rig,calculated_depth,resolution,image_width,image_height
806440820,20190109_422893_2P1_VISom_175um_TFxSF,806172153,/allen/programs/braintv/production/neuralcoding/prod60/specimen_769316535/ophys_session_806172153/ophys_experiment_806440820/,,175,VISpm,passed,CAM2P.2,175.0,0.785203,512,512
803131765,20190103_423242_Running_Decoding,803007090,/allen/programs/braintv/production/neuralcoding/prod60/specimen_772622312/ophys_session_803007090/ophys_experiment_803131765/,,175,VISal,passed,CAM2P.1,185.0,0.785203,512,512
799351437,20181219_423225_RunDecode,798747988,/allen/programs/braintv/production/neuralcoding/prod60/specimen_769367548/ophys_session_798747988/ophys_experiment_799351437/,,275,VISp,passed,CAM2P.2,275.0,0.785203,512,512
802647745,20190102_421590_VISpm_275um_2P2_TFxSF,802548622,/allen/programs/braintv/production/neuralcoding/prod59/specimen_763248171/ophys_session_802548622/ophys_experiment_802647745/,,275,VISpm,passed,CAM2P.2,255.0,0.785203,512,512
802623371,20190102_423244_contrast,802500210,/allen/programs/braintv/production/neuralcoding/prod60/specimen_772656187/ophys_session_802500210/ophys_experiment_802623371/,,175,VISam,passed,CAM2P.2,170.0,0.785203,512,512
878683723,20190530_445271_gamma40hzvalidation,878285374,/allen/programs/braintv/production/visualbehavior/prod0/specimen_821470815/ophys_session_878285374/ophys_experiment_878683723/,,175,VISp,processing,CAM2P.1,0.0,0.785203,512,512
784482343,20181121_421061_VISal_2P2_255um_VCTEcontrast,784372428,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760933183/ophys_session_784372428/ophys_experiment_784482343/,,255,VISal,failed,CAM2P.2,254.0,0.785203,512,512
802618625,20190102_422893_VISal_175um_2P2_Contrast,802473591,/allen/programs/braintv/production/neuralcoding/prod60/specimen_769316535/ophys_session_802473591/ophys_experiment_802618625/,,175,VISal,passed,CAM2P.1,275.0,0.785203,512,512
779331896,20181113_414202_TFxSF,778165960,/allen/programs/braintv/production/neuralcoding/prod59/specimen_759066288/ophys_session_778165960/ophys_experiment_779331896/,,275,VISal,passed,CAM2P.2,295.0,0.785203,512,512
802619839,20190102_423225_RunDecode,802401658,/allen/programs/braintv/production/neuralcoding/prod60/specimen_769367548/ophys_session_802401658/ophys_experiment_802619839/,,275,VISp,passed,CAM2P.2,275.0,0.785203,512,512
784475415,20181121_414556_RunDecode,784120603,/allen/programs/braintv/production/neuralcoding/prod58/specimen_753847689/ophys_session_784120603/ophys_experiment_784475415/,,375,VISal,passed,CAM2P.2,385.0,0.785203,512,512
783668954,20181119_414560_Movies,782102957,/allen/programs/braintv/production/neuralcoding/prod59/specimen_756677939/ophys_session_782102957/ophys_experiment_783668954/,,375,VISam,failed,CAM2P.2,360.0,0.785203,512,512
806437512,20190109_423242_contrast,806050255,/allen/programs/braintv/production/neuralcoding/prod60/specimen_772622312/ophys_session_806050255/ophys_experiment_806437512/,,175,VISal,passed,CAM2P.1,160.0,0.785203,512,512
779352182,20181113_414205_TFxSF,778299488,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760696809/ophys_session_778299488/ophys_experiment_779352182/,,275,VISpm,passed,CAM2P.2,295.0,0.785203,512,512
778056281,20181112_413742_TargetRunDecode,776914650,/allen/programs/braintv/production/neuralcoding/prod58/specimen_753852001/ophys_session_776914650/ophys_experiment_778056281/,,175,VISl,passed,CAM2P.2,177.0,0.785203,512,512
792112442,20181207_422019_TFxSF,791540398,/allen/programs/braintv/production/neuralcoding/prod59/specimen_765991985/ophys_session_791540398/ophys_experiment_792112442/,,175,VISp,passed,CAM2P.2,187.0,0.785203,512,512
783684804,20181120_414560_movies,783319327,/allen/programs/braintv/production/neuralcoding/prod59/specimen_756677939/ophys_session_783319327/ophys_experiment_783684804/,,375,VISam,passed,CAM2P.2,375.0,0.785203,512,512
783695263,20181120_421061_VISal_2P2_275um_VCTEcontrast,783618264,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760933183/ophys_session_783618264/ophys_experiment_783695263/,,275,VISal,passed,CAM2P.2,275.0,0.785203,512,512
803725977,20190104_423245_Contrast,803232810,/allen/programs/braintv/production/neuralcoding/prod60/specimen_772649832/ophys_session_803232810/ophys_experiment_803725977/,,175,VISpm,passed,CAM2P.2,175.0,0.785203,512,512
784473468,20181121_421062_Contrast,783998921,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760984688/ophys_session_783998921/ophys_experiment_784473468/,,275,VISl,passed,CAM2P.2,260.0,0.785203,512,512
803725297,20180104_421060_TFxSF,803237009,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760940732/ophys_session_803237009/ophys_experiment_803725297/,,275,VISal,passed,CAM2P.1,265.0,0.785203,512,512
779352166,20181113_414035_TFxSF,778292916,/allen/programs/braintv/production/neuralcoding/prod58/specimen_754469470/ophys_session_778292916/ophys_experiment_779352166/,,550,VISp,passed,CAM2P.2,540.0,0.785203,512,512
783676603,20181120_421062_contrast,782956726,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760984688/ophys_session_782956726/ophys_experiment_783676603/,,275,VISal,passed,CAM2P.2,260.0,0.785203,512,512
778064563,20181112_414202_Contrast,777180518,/allen/programs/braintv/production/neuralcoding/prod59/specimen_759066288/ophys_session_777180518/ophys_experiment_778064563/,,275,VISpm,passed,CAM2P.2,270.0,0.785203,512,512
779367946,20181114_414556_VCTE_Movies,778958916,/allen/programs/braintv/production/neuralcoding/prod58/specimen_753847689/ophys_session_778958916/ophys_experiment_779367946/,,375,VISp,passed,CAM2P.2,385.0,0.785203,512,512
779323423,20181113_414556_VCTE_Movies,778156289,/allen/programs/braintv/production/neuralcoding/prod58/specimen_753847689/ophys_session_778156289/ophys_experiment_779323423/,,375,VISp,passed,CAM2P.2,375.0,0.785203,512,512
780075287,20181115_414556_2P2_VISal_375um_VCTErun,780001940,/allen/programs/braintv/production/neuralcoding/prod58/specimen_753847689/ophys_session_780001940/ophys_experiment_780075287/,,375,VISal,passed,CAM2P.2,375.0,0.785203,512,512
780056735,20181115_413742_VCTE_Movies,779432537,/allen/programs/braintv/production/neuralcoding/prod58/specimen_753852001/ophys_session_779432537/ophys_experiment_780056735/,,175,VISam,passed,CAM2P.2,175.0,0.785203,512,512
779357842,20181114_413742_TargetMovie,778745349,/allen/programs/braintv/production/neuralcoding/prod58/specimen_753852001/ophys_session_778745349/ophys_experiment_779357842/,,175,VISl,passed,CAM2P.2,177.0,0.785203,512,512
780071416,20181115_414202_TFxSF,779940237,/allen/programs/braintv/production/neuralcoding/prod59/specimen_759066288/ophys_session_779940237/ophys_experiment_780071416/,,275,VISp,passed,CAM2P.2,285.0,0.785203,512,512
780066177,20181115_414560_Movies,779818144,/allen/programs/braintv/production/neuralcoding/prod59/specimen_756677939/ophys_session_779818144/ophys_experiment_780066177/,,375,VISal,passed,CAM2P.2,365.0,0.785203,512,512
779316436,20181113_413742_TargetMovies,777856546,/allen/programs/braintv/production/neuralcoding/prod58/specimen_753852001/ophys_session_777856546/ophys_experiment_779316436/,,175,VISp,passed,CAM2P.2,185.0,0.785203,512,512
783673226,20181120_413742_VCTE_Movies,782812556,/allen/programs/braintv/production/neuralcoding/prod58/specimen_753852001/ophys_session_782812556/ophys_experiment_783673226/,,175,VISam,passed,CAM2P.2,175.0,0.785203,512,512
778598172,20181112_414205_TFxSF,777331050,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760696809/ophys_session_777331050/ophys_experiment_778598172/,,275,VISal,passed,CAM2P.2,280.0,0.785203,512,512
780947314,20181116_413742_TargetMovies,780169348,/allen/programs/braintv/production/neuralcoding/prod58/specimen_753852001/ophys_session_780169348/ophys_experiment_780947314/,,175,VISpm,passed,CAM2P.2,189.0,0.785203,512,512
776726620,20181108_414202_Contrast,775335881,/allen/programs/braintv/production/neuralcoding/prod59/specimen_759066288/ophys_session_775335881/ophys_experiment_776726620/,,275,VISpm,passed,CAM2P.2,260.0,0.785203,512,512
791964266,20181207_421060_TargetContrast,791556785,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760940732/ophys_session_791556785/ophys_experiment_791964266/,,275,VISp,passed,CAM2P.1,269.0,0.785203,512,512
776915038,20181109_414205_Contrast,776093851,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760696809/ophys_session_776093851/ophys_experiment_776915038/,,275,VISpm,passed,CAM2P.2,275.0,0.785203,512,512
791970317,20181207_419530_running,791789578,/allen/programs/braintv/production/neuralcoding/prod59/specimen_763958536/ophys_session_791789578/ophys_experiment_791970317/,,550,VISl,failed,CAM2P.1,550.0,0.785203,512,512
781360091,20181118_414556_VCTE_RunDecoding,781285354,/allen/programs/braintv/production/neuralcoding/prod58/specimen_753847689/ophys_session_781285354/ophys_experiment_781360091/,,375,VISp,passed,CAM2P.2,375.0,0.785203,512,512
784470588,20181121_413742_VCTE_Movies,783807676,/allen/programs/braintv/production/neuralcoding/prod58/specimen_753852001/ophys_session_783807676/ophys_experiment_784470588/,,175,VISpm,failed,CAM2P.2,175.0,0.785203,512,512
782682926,20181119_414202_2P2_VISp_275um_VCTEtfXsf,782420243,/allen/programs/braintv/production/neuralcoding/prod59/specimen_759066288/ophys_session_782420243/ophys_experiment_782682926/,,275,VISp,passed,CAM2P.2,275.0,0.785203,512,512
803729259,20190104_422893_2P1_VISl_175um_TFxSF,803610080,/allen/programs/braintv/production/neuralcoding/prod60/specimen_769316535/ophys_session_803610080/ophys_experiment_803729259/,,175,VISl,failed,CAM2P.2,175.0,0.785203,512,512
782656359,20181119_413742_TargetMovies,781473377,/allen/programs/braintv/production/neuralcoding/prod58/specimen_753852001/ophys_session_781473377/ophys_experiment_782656359/,,175,VISp,passed,CAM2P.2,173.0,0.785203,512,512
783689680,20181120_419158_movies,783390052,/allen/programs/braintv/production/neuralcoding/prod59/specimen_759496697/ophys_session_783390052/ophys_experiment_783689680/,,375,VISrl,failed,CAM2P.2,360.0,0.785203,512,512
785625612,20181126_421061_VISp_2P2_285um_VCTEcontrast,785568931,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760984688/ophys_session_785568931/ophys_experiment_785625612/,,285,VISp,failed,CAM2P.2,285.0,0.785203,512,512
787524360,20181128_421061_VISpm_2P2_275um_VCTEcontrast,787336135,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760933183/ophys_session_787336135/ophys_experiment_787524360/,,275,VISpm,passed,CAM2P.2,275.0,0.785203,512,512
787518772,20181128_421062_Contrast,786831938,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760984688/ophys_session_786831938/ophys_experiment_787518772/,,265,VISl,passed,CAM2P.2,260.0,0.785203,512,512
786477622,20181127_419158_Movies,786179407,/allen/programs/braintv/production/neuralcoding/prod59/specimen_759496697/ophys_session_786179407/ophys_experiment_786477622/,,375,VISrl,failed,CAM2P.2,370.0,0.785203,512,512
786462490,20181127_414035_running,786137541,/allen/programs/braintv/production/neuralcoding/prod58/specimen_754469470/ophys_session_786137541/ophys_experiment_786462490/,,550,VISal,passed,CAM2P.1,530.0,0.785203,512,512
786495485,20181127_421061_VISp_2P2_250um_VCTEcontrast,786284976,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760933183/ophys_session_786284976/ophys_experiment_786495485/,,250,VISp,qc,CAM2P.2,250.0,0.785203,512,512
786464644,20181127_414202_2P2_VISpm_275um_TFxSF,786264766,/allen/programs/braintv/production/neuralcoding/prod59/specimen_759066288/ophys_session_786264766/ophys_experiment_786464644/,,275,VISpm,passed,CAM2P.1,260.0,0.785203,512,512
787521886,20181128_419158_Movies,786971153,/allen/programs/braintv/production/neuralcoding/prod59/specimen_759496697/ophys_session_786971153/ophys_experiment_787521886/,,375,VISrl,passed,CAM2P.2,365.0,0.785203,512,512
786467810,20181127_414560_Movies,786079238,/allen/programs/braintv/production/neuralcoding/prod59/specimen_756677939/ophys_session_786079238/ophys_experiment_786467810/,,375,VISl,passed,CAM2P.2,360.0,0.785203,512,512
785615315,20181126_414035_Running_Decoding,785467612,/allen/programs/braintv/production/neuralcoding/prod58/specimen_754469470/ophys_session_785467612/ophys_experiment_785615315/,,550,VISp,passed,CAM2P.2,560.0,0.785203,512,512
785620777,20181126_414560_Movies,785485777,/allen/programs/braintv/production/neuralcoding/prod59/specimen_756677939/ophys_session_785485777/ophys_experiment_785620777/,,375,VISal,failed,CAM2P.2,360.0,0.785203,512,512
785611089,20181126_421062_contrast,785370795,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760984688/ophys_session_785370795/ophys_experiment_785611089/,,275,VISp,passed,CAM2P.2,265.0,0.785203,512,512
770104700,20181029_414035_Contrast,769811903,/allen/programs/braintv/production/neuralcoding/prod58/specimen_754469470/ophys_session_769811903/ophys_experiment_770104700/,,550,VISp,passed,CAM2P.2,585.0,0.785203,512,512
788477296,20181129_421062_contrast,787891349,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760984688/ophys_session_787891349/ophys_experiment_788477296/,,275,VISal,passed,CAM2P.2,280.0,0.785203,512,512
788483975,20181129_421061_VISp_2P2_250um_VCTEcontrast,788395529,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760933183/ophys_session_788395529/ophys_experiment_788483975/,,250,VISp,passed,CAM2P.2,250.0,0.785203,512,512
788480731,20181129_419158_movies,788202115,/allen/programs/braintv/production/neuralcoding/prod59/specimen_759496697/ophys_session_788202115/ophys_experiment_788480731/,,375,VISrl,passed,CAM2P.2,370.0,0.785203,512,512
790139653,20181203_419158_Running_Decoding,790005301,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760984688/ophys_session_790005301/ophys_experiment_790139653/,,375,VISal,passed,CAM2P.2,360.0,0.785203,512,512
797245107,20181217_421587_tfxsf,796527576,/allen/programs/braintv/production/neuralcoding/prod59/specimen_763832038/ophys_session_796527576/ophys_experiment_797245107/,,275,VISl,passed,CAM2P.1,275.0,0.785203,512,512
797249403,20181217_422893_VISpm_175um_2P2_Contrast,797016848,/allen/programs/braintv/production/neuralcoding/prod60/specimen_769316535/ophys_session_797016848/ophys_experiment_797249403/,,175,VISpm,passed,CAM2P.2,170.0,0.785203,512,512
798375708,20181218_423225_rundecode,797375549,/allen/programs/braintv/production/neuralcoding/prod60/specimen_769367548/ophys_session_797375549/ophys_experiment_798375708/,,275,VISp,failed,CAM2P.2,275.0,0.785203,512,512
800031595,20181220_422893_Contrast,799883837,/allen/programs/braintv/production/neuralcoding/prod60/specimen_769316535/ophys_session_799883837/ophys_experiment_800031595/,,175,VISpm,passed,CAM2P.2,175.0,0.785203,512,512
800029997,20181220_421061_TFxSF,799890062,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760933183/ophys_session_799890062/ophys_experiment_800029997/,,275,VISpm,passed,CAM2P.1,260.0,0.785203,512,512
805047188,20190107_423245_TFxSF,804714847,/allen/programs/braintv/production/neuralcoding/prod60/specimen_772649832/ophys_session_804714847/ophys_experiment_805047188/,,175,VISpm,passed,CAM2P.2,175.0,0.785203,512,512
791966640,20181207_421586_TFxSF,791753661,/allen/programs/braintv/production/neuralcoding/prod59/specimen_763247322/ophys_session_791753661/ophys_experiment_791966640/,,275,VISl,failed,CAM2P.1,275.0,0.785203,512,512
797245653,20181217_423225_rundecode,796420836,/allen/programs/braintv/production/neuralcoding/prod60/specimen_769367548/ophys_session_796420836/ophys_experiment_797245653/,,275,VISp,passed,CAM2P.2,275.0,0.785203,512,512
791970333,20181207_423225_RunDecode,791733321,/allen/programs/braintv/production/neuralcoding/prod60/specimen_769367548/ophys_session_791733321/ophys_experiment_791970333/,,275,VISal,passed,CAM2P.2,275.0,0.785203,512,512
800025869,20181220_421060_tfxsf,799645540,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760940732/ophys_session_799645540/ophys_experiment_800025869/,,275,VISl,passed,CAM2P.1,275.0,0.785203,512,512
798373723,20181218_421060_TFxSF,797356052,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760940732/ophys_session_797356052/ophys_experiment_798373723/,,275,VISl,passed,CAM2P.1,280.0,0.785203,512,512
798384374,20181218_421587_TFxSF,797559679,/allen/programs/braintv/production/neuralcoding/prod59/specimen_763832038/ophys_session_797559679/ophys_experiment_798384374/,,275,VISl,passed,CAM2P.1,275.0,0.785203,512,512
798387212,20181218_423242_tfxsf,797729073,/allen/programs/braintv/production/neuralcoding/prod60/specimen_772622312/ophys_session_797729073/ophys_experiment_798387212/,,175,VISal,passed,CAM2P.1,175.0,0.785203,512,512
798386171,20181218_423244_tfxsf,797612122,/allen/programs/braintv/production/neuralcoding/prod60/specimen_772656187/ophys_session_797612122/ophys_experiment_798386171/,,175,VISam,passed,CAM2P.2,175.0,0.785203,512,512
799352007,20181219_421587_TFxSF,798725363,/allen/programs/braintv/production/neuralcoding/prod59/specimen_763832038/ophys_session_798725363/ophys_experiment_799352007/,,275,VISl,passed,CAM2P.1,275.0,0.785203,512,512
791973827,20181207_419158_Movies,791774327,/allen/programs/braintv/production/neuralcoding/prod59/specimen_759496697/ophys_session_791774327/ophys_experiment_791973827/,,375,VISrl,passed,CAM2P.2,375.0,0.785203,512,512
792789816,20181210_421060_TargetContrast,792319003,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760940732/ophys_session_792319003/ophys_experiment_792789816/,,275,VISp,passed,CAM2P.1,281.0,0.785203,512,512
793713245,20181211_419158,793051644,/allen/programs/braintv/production/neuralcoding/prod59/specimen_759496697/ophys_session_793051644/ophys_experiment_793713245/,,375,VISal,passed,CAM2P.1,385.0,0.785203,512,512
792798975,20181210_421586_tfxsf,792473930,/allen/programs/braintv/production/neuralcoding/prod59/specimen_763247322/ophys_session_792473930/ophys_experiment_792798975/,,275,VISl,failed,CAM2P.1,275.0,0.785203,512,512
800028017,20181220_423242_TFxSF,799774167,/allen/programs/braintv/production/neuralcoding/prod60/specimen_772622312/ophys_session_799774167/ophys_experiment_800028017/,,175,VISl,passed,CAM2P.1,175.0,0.785203,512,512
799345475,20181218_421061_TFxSF,797809369,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760933183/ophys_session_797809369/ophys_experiment_799345475/,,275,VISl,failed,CAM2P.2,270.0,0.785203,512,512
799354291,20181219_423244_TFxSF,798920347,/allen/programs/braintv/production/neuralcoding/prod60/specimen_772656187/ophys_session_798920347/ophys_experiment_799354291/,,175,VISam,passed,CAM2P.2,180.0,0.785203,512,512
799354275,20181219_423242_TFxSF,798938968,/allen/programs/braintv/production/neuralcoding/prod60/specimen_772622312/ophys_session_798938968/ophys_experiment_799354275/,,175,VISal,passed,CAM2P.1,175.0,0.785203,512,512
800025852,20181220_423225_Rundecode,799627315,/allen/programs/braintv/production/neuralcoding/prod60/specimen_769367548/ophys_session_799627315/ophys_experiment_800025852/,,275,VISl,passed,CAM2P.2,275.0,0.785203,512,512
800028982,20181220_423244_tfxsf,799787572,/allen/programs/braintv/production/neuralcoding/prod60/specimen_772656187/ophys_session_799787572/ophys_experiment_800028982/,,175,VISal,passed,CAM2P.2,180.0,0.785203,512,512
806978035,20190110_422893_2P1_VISpm_175um_TFxSF,806835465,/allen/programs/braintv/production/neuralcoding/prod60/specimen_769316535/ophys_session_806835465/ophys_experiment_806978035/,,175,VISpm,passed,CAM2P.2,165.0,0.785203,512,512
803135246,20190103_421061_TFxSF,803063130,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760933183/ophys_session_803063130/ophys_experiment_803135246/,,275,VISp,passed,CAM2P.1,275.0,0.785203,512,512
789337703,20181130_421062_tfxsf,788822860,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760984688/ophys_session_788822860/ophys_experiment_789337703/,,275,VISal,passed,CAM2P.2,265.0,0.785203,512,512
792799871,20181210_423225_rundecode,792449512,/allen/programs/braintv/production/neuralcoding/prod60/specimen_769367548/ophys_session_792449512/ophys_experiment_792799871/,,275,VISal,passed,CAM2P.2,280.0,0.785203,512,512
793716456,20181211_419530_Running,793082965,/allen/programs/braintv/production/neuralcoding/prod59/specimen_763958536/ophys_session_793082965/ophys_experiment_793716456/,,550,VISl,passed,CAM2P.2,550.0,0.785203,512,512
792791393,20181210_422019_TFxSF,792316062,/allen/programs/braintv/production/neuralcoding/prod59/specimen_765991985/ophys_session_792316062/ophys_experiment_792791393/,,175,VISl,passed,CAM2P.2,181.0,0.785203,512,512
799348181,20181219_421060_TFxSF,798500537,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760940732/ophys_session_798500537/ophys_experiment_799348181/,,275,VISp,passed,CAM2P.1,265.0,0.785203,512,512
799356367,20181219_421061_TFSF,799095423,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760933183/ophys_session_799095423/ophys_experiment_799356367/,,275,VISl,passed,CAM2P.1,275.0,0.785203,512,512
791979220,20181207_422893_VISp_175um_2P2_Contrast,791869626,/allen/programs/braintv/production/neuralcoding/prod60/specimen_769316535/ophys_session_791869626/ophys_experiment_791979220/,,175,VISp,passed,CAM2P.2,185.0,0.785203,512,512
789325288,20181130_419158_Running,789095523,/allen/programs/braintv/production/neuralcoding/prod59/specimen_759496697/ophys_session_789095523/ophys_experiment_789325288/,,375,VISal,passed,CAM2P.1,385.0,0.785203,512,512
800383368,20181221_423225_rundecode,800143207,/allen/programs/braintv/production/neuralcoding/prod60/specimen_769367548/ophys_session_800143207/ophys_experiment_800383368/,,275,VISp,passed,CAM2P.2,275.0,0.785203,512,512
800385979,20181221_423242_rundecode,800164268,/allen/programs/braintv/production/neuralcoding/prod60/specimen_772622312/ophys_session_800164268/ophys_experiment_800385979/,,175,VISal,passed,CAM2P.1,180.0,0.785203,512,512
792804455,20181210_419530_Running,792632685,/allen/programs/braintv/production/neuralcoding/prod59/specimen_763958536/ophys_session_792632685/ophys_experiment_792804455/,,550,VISp,passed,CAM2P.2,550.0,0.785203,512,512
799357415,20181219_422893_vispm__175um_viscodingmovies,799078171,/allen/programs/braintv/production/neuralcoding/prod60/specimen_769316535/ophys_session_799078171/ophys_experiment_799357415/,,175,VISpm,passed,CAM2P.2,175.0,0.785203,512,512
800383347,20181221_421060_tfxsf,800142824,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760940732/ophys_session_800142824/ophys_experiment_800383347/,,275,VISal,failed,CAM2P.1,275.0,0.785203,512,512
803129308,20190103_423244_contrast,802941425,/allen/programs/braintv/production/neuralcoding/prod60/specimen_772656187/ophys_session_802941425/ophys_experiment_803129308/,,175,VISl,passed,CAM2P.1,170.0,0.785203,512,512
789332044,20181130_421061_VISal_2P2_275um_VCTEcontrast,789270340,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760933183/ophys_session_789270340/ophys_experiment_789332044/,,275,VISal,passed,CAM2P.1,275.0,0.785203,512,512
800387791,20181221_421061_TFxSF,800151868,/allen/programs/braintv/production/neuralcoding/prod59/specimen_760933183/ophys_session_800151868/ophys_experiment_800387791/,,275,VISp,passed,CAM2P.2,265.0,0.785203,512,512
805764487,20190108_423242_Running,805521899,/allen/programs/braintv/production/neuralcoding/prod60/specimen_772622312/ophys_session_805521899/ophys_experiment_805764487/,,175,VISl,failed,CAM2P.2,175.0,0.785203,512,512
805770521,20190108_422893_2P1_VISam_175um_TFxSF,805615556,/allen/programs/braintv/production/neuralcoding/prod60/specimen_769316535/ophys_session_805615556/ophys_experiment_805770521/,,175,VISam,passed,CAM2P.2,175.0,0.785203,512,512
794368941,20181212_422019_TFxSF,793855640,/allen/programs/braintv/production/neuralcoding/prod59/specimen_765991985/ophys_session_793855640/ophys_experiment_794368941/,,175,VISal,passed,CAM2P.2,173.0,0.785203,512,512
800390105,20181221_423244_contrast,800171732,/allen/programs/braintv/production/neuralcoding/prod60/specimen_772656187/ophys_session_800171732/ophys_experiment_800390105/,,175,VISam,passed,CAM2P.1,175.0,0.785203,512,512
805061120,20190107_423242_Running,804893755,/allen/programs/braintv/production/neuralcoding/prod60/specimen_772622312/ophys_session_804893755/ophys_experiment_805061120/,,175,VISl,passed,CAM2P.2,175.0,0.785203,512,512
793709885,20181211_423225_rundecode,792879437,/allen/programs/braintv/production/neuralcoding/prod60/specimen_769367548/ophys_session_792879437/ophys_experiment_793709885/,,275,VISl,passed,CAM2P.2,275.0,0.785203,512,512
805078533,20190107_422893_2P1_VISl_175um_TFxSF,804919130,/allen/programs/braintv/production/neuralcoding/prod60/specimen_769316535/ophys_session_804919130/ophys_experiment_805078533/,,175,VISl,passed,CAM2P.2,175.0,0.785203,512,512
794369502,20181212_421586_tfxsf,794080284,/allen/programs/braintv/production/neuralcoding/prod59/specimen_763247322/ophys_session_794080284/ophys_experiment_794369502/,,275,VISl,failed,CAM2P.1,280.0,0.785203,512,512
794371851,20181212_423225_rundecode,794035587,/allen/programs/braintv/production/neuralcoding/prod60/specimen_769367548/ophys_session_794035587/ophys_experiment_794371851/,,275,VISal,passed,CAM2P.2,275.0,0.785203,512,512
790135132,20181203_421586_contrast,789877828,/allen/programs/braintv/production/neuralcoding/prod59/specimen_763247322/ophys_session_789877828/ophys_experiment_790135132/,,265,VISpm,passed,CAM2P.1,250.0,0.785203,512,512
806975442,20190110_423242_running,806758614,/allen/programs/braintv/production/neuralcoding/prod60/specimen_772622312/ophys_session_806758614/ophys_experiment_806975442/,,175,VISl,passed,CAM2P.2,175.0,0.785203,512,512
790143307,20181203_421590_2P2_VISpm_265um_Contrast,790073891,/allen/programs/braintv/production/neuralcoding/prod59/specimen_763248171/ophys_session_790073891/ophys_experiment_790143307/,,265,VISpm,passed,CAM2P.2,265.0,0.785203,512,512
794372869,20181212_419530_Running,794278695,/allen/programs/braintv/production/neuralcoding/prod59/specimen_763958536/ophys_session_794278695/ophys_experiment_794372869/,,550,VISp,passed,CAM2P.1,545.0,0.785203,512,512
