session_id,name,stimulus_name,specimen_id,storage_directory,external_specimen_name,genotype,date_of_acquisition,rig,date_of_birth,full_genotype,age,sex,parent_session_id,workflow_state,project
682746585,20180412_373112_ContrastTuning,VisCodingTargetedContrast,661968859,/allen/programs/braintv/production/neuralcoding/prod48/specimen_661968859/ophys_session_682746585/,373112,Rbp4-Cre_KL100;Camk2a-tTA;Ai93(NC),2018-04-12 15:26:00.000000,CAM2P.1,2017-12-16 00:00:00.000000,Rbp4-Cre_KL100/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,P139,F,,uploaded,VisCodingTargetedContrast
690751383,20180426_378346_TargetContrast,VisCodingTargetedContrast,671540231,/allen/programs/braintv/production/neuralcoding/prod50/specimen_671540231/ophys_session_690751383/,378346,Rorb-IRES2-Cre;Camk2a-tTA;Ai93,2018-04-26 19:37:07.000000,CAM2P.1,2018-01-17 00:00:00.000000,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,P125,F,,uploaded,VisCodingTargetedContrast
684856233,20180416_373112_RunningDecoding,VisCodingTargetedRunningDecoding,661968859,/allen/programs/braintv/production/neuralcoding/prod48/specimen_661968859/ophys_session_684856233/,373112,Rbp4-Cre_KL100;Camk2a-tTA;Ai93(NC),2018-04-16 17:34:25.000000,CAM2P.1,2017-12-16 00:00:00.000000,Rbp4-Cre_KL100/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,P139,F,,uploaded,VisCodingTargetedRunningDecoding
693163510,20180502_377629_TFSF,VisCodingTargetedTFxSF,664744816,/allen/programs/braintv/production/neuralcoding/prod49/specimen_664744816/ophys_session_693163510/,377629,Sst-IRES-Cre;Ai148,2018-05-02 19:10:17.000000,CAM2P.2,2018-01-11 00:00:00.000000,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,P138,M,,uploaded,VisCodingTargetedTFxSF
687293842,20180420_377321_TFxSF,VisCodingTargetedTFxSF,664605504,/allen/programs/braintv/production/neuralcoding/prod48/specimen_664605504/ophys_session_687293842/,377321,Sst-IRES-Cre;Ai148,2018-04-20 19:33:21.000000,CAM2P.2,2018-01-08 00:00:00.000000,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,P134,M,,uploaded,VisCodingTargetedTFxSF
691862168,20180430_379348_ContrastTuning,VisCodingTargetedContrast,669165768,/allen/programs/braintv/production/neuralcoding/prod49/specimen_669165768/ophys_session_691862168/,379348,Vip-IRES-Cre;Ai148,2018-04-30 16:17:55.000000,CAM2P.1,2018-01-24 00:00:00.000000,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,P118,F,,uploaded,VisCodingTargetedContrast
696537321,20180510_377321_2P2_VISal_275um_ContrastTuning,VisCodingTargetedContrast,664605504,/allen/programs/braintv/production/neuralcoding/prod48/specimen_664605504/ophys_session_696537321/,377321,Sst-IRES-Cre;Ai148,2018-05-10 22:42:15.000000,CAM2P.2,2018-01-08 00:00:00.000000,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,P134,M,,uploaded,VisCodingTargetedContrast
686708257,20180419_377321_TSxSF,VisCodingTargetedTFxSF,664605504,/allen/programs/braintv/production/neuralcoding/prod48/specimen_664605504/ophys_session_686708257/,377321,Sst-IRES-Cre;Ai148,2018-04-19 21:30:00.000000,CAM2P.2,2018-01-08 00:00:00.000000,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,P134,M,,uploaded,VisCodingTargetedTFxSF
686569087,20180419_377129_V1_550um_ContrastTuning,VisCodingTargetedContrast,666788991,/allen/programs/braintv/production/neuralcoding/prod49/specimen_666788991/ophys_session_686569087/,377129,Ntsr1-Cre_GN220;Ai148,2018-04-19 16:59:06.000000,CAM2P.2,2018-01-09 00:00:00.000000,Ntsr1-Cre_GN220/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,P133,F,,uploaded,VisCodingTargetedContrast
691741646,20180427_377321_2P2_VISpm_275um_TFxSF,VisCodingTargetedTFxSF,664605504,/allen/programs/braintv/production/neuralcoding/prod48/specimen_664605504/ophys_session_691741646/,377321,Sst-IRES-Cre;Ai148,2018-04-27 23:09:53.000000,CAM2P.2,2018-01-08 00:00:00.000000,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,P134,M,,uploaded,VisCodingTargetedTFxSF
